category,sub_category,code,summary
Anesthesia,"CPT®00100,Under Anesthesia for Procedures on the Head",00100,"The provider performs anesthesia services for a patient undergoing a procedure on the salivary glands, including biopsy."
Anesthesia,"CPT®00102,Under Anesthesia for Procedures on the Head",00102,The provider performs anesthesia services for a patient undergoing a plastic repair of cleft lip.
Anesthesia,"CPT®00103,Under Anesthesia for Procedures on the Head",00103,The provider performs anesthesia services for a patient undergoing a reconstructive procedure of eyelid such as blepharoplasty or ptosis surgery.
Anesthesia,"CPT®00104,Under Anesthesia for Procedures on the Head",00104,The provider performs anesthesia services for a patient undergoing electroconvulsive therapy.
Anesthesia,"CPT®00120,Under Anesthesia for Procedures on the Head",00120,"The provider performs anesthesia services for a patient undergoing procedures on the external, middle, and inner ear, including biopsy."
Anesthesia,"CPT®00124,Under Anesthesia for Procedures on the Head",00124,"The provider performs anesthesia services for a patient undergoing procedures on the external, middle, and inner ear, including biopsy and otoscopy."
Anesthesia,"CPT®00126,Under Anesthesia for Procedures on the Head",00126,"The provider performs anesthesia services for a patient undergoing procedures on the external, middle, and inner ear including biopsy and tympanotomy."
Anesthesia,"CPT®00140,Under Anesthesia for Procedures on the Head",00140,The provider performs anesthesia services for a patient undergoing an eye procedure.
Anesthesia,"CPT®00142,Under Anesthesia for Procedures on the Head",00142,The provider performs anesthesia services for a patient undergoing an eye lens procedure.
Anesthesia,"CPT®00144,Under Anesthesia for Procedures on the Head",00144,The provider performs anesthesia services for a patient undergoing a corneal transplant.
Anesthesia,"CPT®00145,Under Anesthesia for Procedures on the Head",00145,The provider performs anesthesia services for a patient undergoing vitreoretinal surgery.
Anesthesia,"CPT®00147,Under Anesthesia for Procedures on the Head",00147,"The provider performs anesthesia services for a patient undergoing an iridectomy, or surgery to remove part of the iris."
Anesthesia,"CPT®00148,Under Anesthesia for Procedures on the Head",00148,The provider performs anesthesia services for a patient undergoing an ophthalmoscopy.
Anesthesia,"CPT®00160,Under Anesthesia for Procedures on the Head",00160,"The provider performs anesthesia services for a patient undergoing procedures on the nose and accessory sinuses, hollow chambers in the skull that open into the nasal cavity. Use this code when there is no more specific code available."
Anesthesia,"CPT®00162,Under Anesthesia for Procedures on the Head",00162,The provider performs anesthesia services for a patient undergoing radical surgery on the nose and accessory sinuses.
Anesthesia,"CPT®00164,Under Anesthesia for Procedures on the Head",00164,The provider performs anesthesia services for a patient undergoing soft tissue biopsy of the nose and accessory sinuses.
Anesthesia,"CPT®00170,Under Anesthesia for Procedures on the Head",00170,"The provider performs anesthesia services for a patient undergoing an intraoral procedure, including biopsy."
Anesthesia,"CPT®00172,Under Anesthesia for Procedures on the Head",00172,"The provider performs anesthesia services for a patient undergoing an intraoral procedure, including biopsy and repair of a cleft palate."
Anesthesia,"CPT®00174,Under Anesthesia for Procedures on the Head",00174,"The provider performs anesthesia services for a patient undergoing an intraoral procedure, including biopsy and excision of a retropharyngeal tumor."
Anesthesia,"CPT®00176,Under Anesthesia for Procedures on the Head",00176,"The provider performs anesthesia services for a patient undergoing an intraoral procedure, including biopsy, radical surgery."
Anesthesia,"CPT®00190,Under Anesthesia for Procedures on the Head",00190,The provider performs anesthesia services for a patient undergoing a procedure on the facial bones or the skull.
Anesthesia,"CPT®00192,Under Anesthesia for Procedures on the Head",00192,"The provider performs anesthesia services for a patient undergoing radical surgery procedures on the facial bones or skull. This may include prognathism, which is a protrusion of the lower jaw."
Anesthesia,"CPT®00210,Under Anesthesia for Procedures on the Head",00210,The provider performs anesthesia services for a patient undergoing intracranial procedures that are not specifically described by another anesthesia code.
Anesthesia,"CPT®00211,Under Anesthesia for Procedures on the Head",00211,The provider performs anesthesia services for a patient undergoing intracranial procedures that involve removing a small portion of skull bone to take out a hematoma or blood clot from within the brain or tissues surrounding it.
Anesthesia,"CPT®00212,Under Anesthesia for Procedures on the Head",00212,"The provider performs anesthesia services for a patient undergoing intracranial procedures involving subdural taps. In this procedure, another provider removes a little fluid from the subdural space, the fluid filled space in between the outer and middle membrane layers covering the brain. The surgical provider performs the procedure to decrease the excess intracranial fluid pressure being exerted on the brain tissues."
Anesthesia,"CPT®00214,Under Anesthesia for Procedures on the Head",00214,The provider performs anesthesia services for a patient undergoing intracranial procedures involving burr holes and possibly ventriculography.
Anesthesia,"CPT®00215,Under Anesthesia for Procedures on the Head",00215,The provider performs anesthesia services for a patient undergoing extradural intracranial procedures involving cranioplasty or raising a depressed skull fracture.
Anesthesia,"CPT®00216,Under Anesthesia for Procedures on the Head",00216,The provider performs anesthesia services for a patient undergoing intracranial vascular procedures.
Anesthesia,"CPT®00218,Under Anesthesia for Procedures on the Head",00218,The provider performs anesthesia services for a patient undergoing an intracranial procedure while in a sitting position.
Anesthesia,"CPT®00220,Under Anesthesia for Procedures on the Head",00220,The provider performs anesthesia services for a patient undergoing intracranial procedures for cerebrospinal fluid shunting.
Anesthesia,"CPT®00222,Under Anesthesia for Procedures on the Head",00222,"The provider performs anesthesia services for a patient undergoing an intracranial procedure, including electrocoagulation of an intracranial nerve, which means to stop bleeding using electrocautery, or an electrical current."
Anesthesia,"CPT®00300,Under Anesthesia for Procedures on the Neck",00300,"The provider performs anesthesia services for a patient undergoing any procedure on the integumentary system, muscles and nerves of head, neck, and posterior trunk."
Anesthesia,"CPT®00320,Under Anesthesia for Procedures on the Neck",00320,"The provider performs anesthesia services for a patient undergoing any procedure on the esophagus, thyroid, larynx, trachea and lymphatic system of the neck when the patient is one year or older."
Anesthesia,"CPT®00322,Under Anesthesia for Procedures on the Neck",00322,"The provider performs anesthesia services for a patient undergoing any procedure on the esophagus, thyroid, larynx, trachea and lymphatic system of the neck, including a needle biopsy of the thyroid."
Anesthesia,"CPT®00326,Under Anesthesia for Procedures on the Neck",00326,The provider performs anesthesia services for a patient undergoing any procedure on the larynx and trachea in children younger than one year of age.
Anesthesia,"CPT®00350,Under Anesthesia for Procedures on the Neck",00350,"The provider performs anesthesia services for a patient undergoing any procedure on the major vessels of the neck, not otherwise specified."
Anesthesia,"CPT®00352,Under Anesthesia for Procedures on the Neck",00352,"The provider performs anesthesia services for a patient undergoing any procedure on the major vessels of neck, including simple ligation."
Anesthesia,"CPT®00400,Under Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle)",00400,"The provider performs anesthesia services for a patient undergoing any procedure on the integumentary system on the extremities, anterior trunk and perineum, not otherwise specified."
Anesthesia,"CPT®00402,Under Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle)",00402,"The provider performs anesthesia services for a patient undergoing a procedure on the integumentary system on the extremities, anterior trunk and perineum, including reconstructive procedures on the breast."
Anesthesia,"CPT®00404,Under Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle)",00404,"The provider performs anesthesia services for a patient undergoing a procedure on the integumentary system on the extremities, anterior trunk and perineum, including a radical or modified radical procedure on the breast."
Anesthesia,"CPT®00406,Under Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle)",00406,"The provider performs anesthesia services for a patient undergoing a procedure on the integumentary system of the extremities, anterior trunk, and perineum, including a radical or modified radical procedure on the breast with internal mammary node dissection."
Anesthesia,"CPT®00410,Under Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle)",00410,"The provider performs anesthesia services for a patient undergoing a procedure on the skin of the upper and lower limbs, the front aspect of the chest and abdomen, or the perineum. For this code, the patient’s treatment includes electrical conversion for treating the irregularity of heartbeats."
Anesthesia,"CPT®00450,Under Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle)",00450,"The provider performs anesthesia services for a patient undergoing a procedure on the clavicle and scapula, which is not specified by another code. The clavicle and scapula are bones in the upper torso."
Anesthesia,"CPT®00454,Under Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle)",00454,"The provider performs anesthesia services for a patient undergoing a biopsy procedure on the clavicle, which is the collarbone."
Anesthesia,"CPT®00470,Under Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle)",00470,The provider performs anesthesia services for a patient undergoing partial rib removal in a procedure not otherwise specified by another code.
Anesthesia,"CPT®00472,Under Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle)",00472,"The provider performs anesthesia services for a patient undergoing partial rib resection including thoracoplasty, in which another provider partially removes one or more ribs. The surgery may involve a reparative procedure on the thorax."
Anesthesia,"CPT®00474,Under Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle)",00474,"The provider performs anesthesia services for a patient undergoing a partial rib resection in which the surgical provider removes a portion of the ribs. The radical procedure involves other extensive measures for treating conditions such as pectus excavatum, which is a hollow depression in the center of the lower chest."
Anesthesia,"CPT®00500,Under Anesthesia for Intrathoracic Procedures",00500,"The provider performs anesthesia services for a patient undergoing a procedure on the esophagus, which is the food pipe."
Anesthesia,"CPT®00520,Under Anesthesia for Intrathoracic Procedures",00520,"The provider performs anesthesia services for a patient undergoing closed chest procedures including bronchoscopy, which means viewing the windpipe for investigation. This code includes procedures that are not specifically described by another anesthesia code."
Anesthesia,"CPT®00522,Under Anesthesia for Intrathoracic Procedures",00522,"The provider performs anesthesia services for a patient undergoing a closed chest procedure involving a needle biopsy of the pleura, which is the double–layered membrane covering the lungs."
Anesthesia,"CPT®00524,Under Anesthesia for Intrathoracic Procedures",00524,The provider performs anesthesia services for a patient undergoing the closed chest procedure of pneumocentesis in which another provider inserts a needle into the lung to drain the fluid contents.
Anesthesia,"CPT®00528,Under Anesthesia for Intrathoracic Procedures",00528,"The provider performs anesthesia services for a patient undergoing the procedure of mediastinoscopy in which another provider inserts a device with a video camera via an opening at the base of the neck to view the structures in the upper chest between the two lungs. The surgical provider may perform thoracoscopy, in which he may insert a device with a viewing camera through an opening in the side of the lower chest to view any abnormality in the contents of the pleura, the double–layered membrane covering the lung."
Anesthesia,"CPT®00529,Under Anesthesia for Intrathoracic Procedures",00529,"The provider performs anesthesia services for a patient undergoing the procedure of mediastinoscopy in which another provider inserts a device with a video camera via an opening at the base of the neck to view the structures in the upper chest between the two lungs. The surgical provider may perform thoracoscopy, in which he may insert a device with a viewing camera through an opening in the side of the lower chest to view any abnormality in the contents of the pleura, the double layered membrane covering the lung. The procedure involves one lung ventilation."
Anesthesia,"CPT®00530,Under Anesthesia for Intrathoracic Procedures",00530,The provider performs anesthesia services for a patient undergoing the procedure of permanent transvenous pacemaker insertion in which another provider inserts a device via a blood vessel in the neck into the chambers of the heart as a treatment for irregular beating of the heart.
Anesthesia,"CPT®00532,Under Anesthesia for Intrathoracic Procedures",00532,"The provider performs anesthesia services for the procedure of accessing central venous circulation, which refers to the major veins draining blood into the heart. Another provider may use this access or entry point for various cardiac treatment or monitoring purposes."
Anesthesia,"CPT®00534,Under Anesthesia for Intrathoracic Procedures",00534,"The provider performs anesthesia services for a patient undergoing the procedure of transvenous cardioverter–defibrillator insertion in which another provider inserts a device, via a blood vessel in the neck, into the chambers of the heart as a treatment for irregular beating of the heart. The surgical provider’s procedure may involve replacing the pacing cardioverter–defibrillator as well."
Anesthesia,"CPT®00537,Under Anesthesia for Intrathoracic Procedures",00537,"The provider performs anesthesia services for a patient undergoing cardiac electrophysiologic procedures, such as mapping, pacing, recording, arrhythmia induction, lead testing, and similar services, as well as radiofrequency ablation."
Anesthesia,"CPT®00539,Under Anesthesia for Intrathoracic Procedures",00539,The provider performs anesthesia services for a patient undergoing the procedure of tracheobronchial reconstruction in which the surgical provider performs repair of injury or malformations in the windpipe and its subdivisions.
Anesthesia,"CPT®00540,Under Anesthesia for Intrathoracic Procedures",00540,The provider performs anesthesia services for a patient undergoing procedures that are not specifically described by another anesthesia code in which the surgical provider performs thoracotomy. Thoracotomy is opening the chest for surgical treatment or investigation of structures within the chest.
Anesthesia,"CPT®00541,Under Anesthesia for Intrathoracic Procedures",00541,The provider performs anesthesia services for a patient undergoing a procedure involving opening the chest wall and using one lung ventilation.
Anesthesia,"CPT®00542,Under Anesthesia for Intrathoracic Procedures",00542,"The provider performs anesthesia services for a patient undergoing a procedure involving opening the chest wall and performing decortication, which is peeling away the lung’s lining."
Anesthesia,"CPT®00546,Under Anesthesia for Intrathoracic Procedures",00546,"The provider performs anesthesia services for a patient undergoing a procedure involving opening the chest wall, removal of all or part of a lung, and surgical repair of the thorax."
Anesthesia,"CPT®00548,Under Anesthesia for Intrathoracic Procedures",00548,"The provider performs anesthesia services for a patient undergoing a procedure involving opening the chest wall, and performing procedures on the trachea, which is the windpipe, and the bronchi, the air passages that lead from the windpipe to the lungs."
Anesthesia,"CPT®00550,Under Anesthesia for Intrathoracic Procedures",00550,The provider performs anesthesia services for a patient undergoing a procedure involving removing dead or damaged tissue from the breastbone.
Anesthesia,"CPT®00560,Under Anesthesia for Intrathoracic Procedures",00560,"The provider performs anesthesia services for a patient undergoing a procedure involving the heart, the sac around the heart, and the great vessels of the chest, such as the aorta, its major branches, and the major pulmonary vessels. The patient does not require a pump oxygenator to take on the work of the heart and lungs."
Anesthesia,"CPT®00561,Under Anesthesia for Intrathoracic Procedures",00561,"The provider performs anesthesia services for a patient undergoing a procedure involving the heart, the sac around the heart, and the great vessels of the chest, such as the aorta, its major branches, and the major pulmonary vessels. The patient, who is younger than a year old, requires a pump oxygenator to take on the work of the heart and lungs during the procedure."
Anesthesia,"CPT®00562,Under Anesthesia for Intrathoracic Procedures",00562,"The provider performs anesthesia services for a patient undergoing a procedure involving the heart, the sac around the heart, and the great vessels of the chest, such as the aorta, its major branches, and the major pulmonary vessels. The procedure is for something other than a coronary bypass procedure, but it may be a re–operation within a month of the original bypass. The patient is a year old or older and requires a pump oxygenator to take on the work of the heart and lungs."
Anesthesia,"CPT®00563,Under Anesthesia for Intrathoracic Procedures",00563,"The provider performs anesthesia services for a patient undergoing a procedure involving the heart, the sac around the heart, and the great vessels of the chest, such as the aorta, its major branches, and the major pulmonary vessels. The procedure requires a pump oxygenator to take on the work of the heart and lungs. The procedure also involves hypothermic circulatory arrest, which cools the body to stop blood circulation without endangering the patient."
Anesthesia,"CPT®00566,Under Anesthesia for Intrathoracic Procedures",00566,The provider performs anesthesia services for a patient undergoing a coronary artery bypass graft procedure. The procedure does not require a pump oxygenator to take on the work of the heart and lungs.
Anesthesia,"CPT®00567,Under Anesthesia for Intrathoracic Procedures",00567,The provider performs anesthesia services for a patient undergoing a coronary artery bypass graft procedure. The procedure requires a pump oxygenator to take on the work of the heart and lungs.
Anesthesia,"CPT®00580,Under Anesthesia for Intrathoracic Procedures",00580,The provider performs anesthesia services for a patient undergoing transplant of the heart or of both the heart and lungs
Anesthesia,"CPT®00600,Under Anesthesia for Procedures on the Spine and Spinal Cord",00600,The provider performs anesthesia services for a patient undergoing a procedure on the cervical spine and cord not described by another anesthesia code.
Anesthesia,"CPT®00604,Under Anesthesia for Procedures on the Spine and Spinal Cord",00604,The provider performs anesthesia services for a patient undergoing a procedure on the cervical spine and cord while in a sitting position.
Anesthesia,"CPT®00620,Under Anesthesia for Procedures on the Spine and Spinal Cord",00620,The provider performs anesthesia services for a patient undergoing a procedure on the thoracic spine and cord not described in another anesthesia code.
Anesthesia,"CPT®00625,Under Anesthesia for Procedures on the Spine and Spinal Cord",00625,"The provider performs anesthesia services for a patient undergoing a procedure on the thoracic spine and cord, via an anterior transthoracic approach; not utilizing 1 lung ventilation."
Anesthesia,"CPT®00626,Under Anesthesia for Procedures on the Spine and Spinal Cord",00626,"The provider performs anesthesia services for a patient undergoing a procedure on the thoracic spine and cord, via an anterior transthoracic approach; utilizing 1 lung ventilation."
Anesthesia,"CPT®00630,Under Anesthesia for Procedures on the Spine and Spinal Cord",00630,The provider performs anesthesia services for a patient undergoing a procedure in lumbar region; not otherwise specified.
Anesthesia,"CPT®00632,Under Anesthesia for Procedures on the Spine and Spinal Cord",00632,"The provider performs anesthesia services for a patient undergoing a procedure in the lumbar region, including a lumbar sympathectomy."
Anesthesia,"CPT®00635,Under Anesthesia for Procedures on the Spine and Spinal Cord",00635,"The provider performs anesthesia services for a patient undergoing a procedure in the lumbar region, including a diagnostic or therapeutic lumbar puncture."
Anesthesia,"CPT®00640,Under Anesthesia for Procedures on the Spine and Spinal Cord",00640,"The provider performs anesthesia services for a patient undergoing a manipulation of the spine or for a closed procedure on the cervical, thoracic, or lumbar spine."
Anesthesia,"CPT®00670,Under Anesthesia for Procedures on the Spine and Spinal Cord",00670,"The provider performs anesthesia services for a patient undergoing an extensive spine and spinal cord procedures including spinal instrumentation, where the provider implants plates and screws into the spine to stabilize it, and vascular procedures on blood vessels."
Anesthesia,"CPT®00700,Under Anesthesia for Procedures on the Upper Abdomen",00700,"The provider performs anesthesia services for a patient undergoing a procedure on the upper anterior abdominal wall, not otherwise specified."
Anesthesia,"CPT®00702,Under Anesthesia for Procedures on the Upper Abdomen",00702,"The provider performs anesthesia services for a patient undergoing a procedure on the upper anterior abdominal wall, including a percutaneous liver biopsy."
Anesthesia,"CPT®00730,Under Anesthesia for Procedures on the Upper Abdomen",00730,The provider performs anesthesia services for a patient undergoing a procedure on the upper posterior abdominal wall.
Anesthesia,"CPT®00731,Under Anesthesia for Procedures on the Upper Abdomen",00731,"The anesthesia provider performs anesthesia services for an unspecified type of upper gastrointestinal endoscopic procedure during which another provider introduces the endoscope to but not beyond the proximal (upper) part of duodenum, the first portion of the small intestines just below the stomach."
Anesthesia,"CPT®00732,Under Anesthesia for Procedures on the Upper Abdomen",00732,"The anesthesia provider performs anesthesia services for an endoscopic retrograde cholangiopancreatography (ERCP) during which another provider introduces the endoscope to the proximal (upper) part of the duodenum, the part of the small bowel just below the stomach."
Anesthesia,"CPT®00750,Under Anesthesia for Procedures on the Upper Abdomen",00750,"The provider performs anesthesia services for hernia repairs in upper abdomen, not otherwise specified."
Anesthesia,"CPT®00752,Under Anesthesia for Procedures on the Upper Abdomen",00752,"The provider performs anesthesia services for hernia repairs in the upper abdomen, including a lumbar and ventral, or incisional, hernia and or wound dehiscence."
Anesthesia,"CPT®00754,Under Anesthesia for Procedures on the Upper Abdomen",00754,"The provider performs anesthesia services for a patient undergoing hernia repair in the upper abdomen for an omphalocele, a congenital malformation in which part of the intestine or other abdominal organs protrude into the base of the umbilical cord due to a defect in the development of the muscles of the abdominal wall."
Anesthesia,"CPT®00756,Under Anesthesia for Procedures on the Upper Abdomen",00756,"The provider performs anesthesia services for a patient undergoing transabdominal repair of a diaphragmatic hernia. The surgical procedure involves repairing a discontinuity in the respiratory diaphragm and restoring the protruding abdominal contents back into the abdominal cavity, via the transabdominal approach."
Anesthesia,"CPT®00770,Under Anesthesia for Procedures on the Upper Abdomen",00770,"The provider performs anesthesia services for a patient undergoing a procedure on the major abdominal blood vessels such as embolectomy, thrombectomy, reconstruction, repair of aneurysm, bypass graft, venous anastomosis, etc."
Anesthesia,"CPT®00790,Under Anesthesia for Procedures on the Upper Abdomen",00790,"The provider performs anesthesia services for a patient undergoing intraperitoneal procedures in the upper abdomen, including laparoscopy, which are not specified by any other anesthesia code."
Anesthesia,"CPT®00792,Under Anesthesia for Procedures on the Upper Abdomen",00792,"The provider performs anesthesia services for a patient undergoing partial hepatectomy, which is partial removal of the liver, or undergoing management of liver hemorrhage. This code includes laparoscopy. It does not include liver biopsy."
Anesthesia,"CPT®00794,Under Anesthesia for Procedures on the Upper Abdomen",00794,"The provider performs anesthesia services for a patient undergoing a procedure of partial or total pancreatectomy, which is surgical removal of the pancreas. The surgical provider may perform a Whipple procedure, which is removal of the head of the pancreas along with the duodenum and other nearby structures, and rejoining the cut end of the pancreas to the small intestine. This code includes laparoscopy."
Anesthesia,"CPT®00796,Under Anesthesia for Procedures on the Upper Abdomen",00796,"The provider performs anesthesia services for a patient receiving a liver transplant, including laparoscopic services."
Anesthesia,"CPT®00797,Under Anesthesia for Procedures on the Upper Abdomen",00797,"The provider performs anesthesia services for a patient undergoing a gastric restrictive procedure for morbid obesity. In this procedure the surgical provider goes through the abdominal wall, possibly laparoscopically, and restricts or shrinks the volume of the stomach by putting a band across the stomach. This way, the stomach fills up sooner and the patient can decrease his food intake and lose weight."
Anesthesia,"CPT®00800,Under Anesthesia for Procedures on the Lower Abdomen",00800,The provider performs anesthesia services for a patient undergoing procedures on the lower anterior abdominal wall. This code is used for procedures not specified by other anesthesia codes.
Anesthesia,"CPT®00802,Under Anesthesia for Procedures on the Lower Abdomen",00802,"The provider performs anesthesia services for a patient undergoing panniculectomy on the lower anterior abdominal wall. In this procedure the surgical provider excises excess fat and skin, called a pannus, via an incision below the navel."
Anesthesia,"CPT®00811,Under Anesthesia for Procedures on the Lower Abdomen",00811,"The provider performs anesthesia services for a patient undergoing an unspecified lower intestinal endoscopic procedure where the surgical provider introduces an endoscope into the intestines up to but not into the duodenum, the part of the intestines just below the stomach."
Anesthesia,"CPT®00812,Under Anesthesia for Procedures on the Lower Abdomen",00812,"The provider performs anesthesia services for a patient undergoing a screening colonoscopy during which the surgical provider introduces an endoscope into the intestines below the duodenum, the part of the intestines just below the stomach."
Anesthesia,"CPT®00813,Under Anesthesia for Procedures on the Lower Abdomen",00813,"The anesthesia provider performs anesthesia services for a patient undergoing both upper and lower intestinal endoscopy where the surgical provider introduces an endoscope into the intestines above and below the duodenum, the part of the intestines just next to the stomach."
Anesthesia,"CPT®00820,Under Anesthesia for Procedures on the Lower Abdomen",00820,"The provider performs anesthesia services for a patient undergoing procedures on the lower rear aspect of the abdominal wall, such as biopsy, tumor removal, muscle flap procedures, injections in the area for specific purposes, etc."
Anesthesia,"CPT®00830,Under Anesthesia for Procedures on the Lower Abdomen",00830,The provider performs anesthesia services for a patient undergoing hernia repairs in the lower abdomen. This code refers to procedures that are not specified by any other anesthesia code.
Anesthesia,"CPT®00832,Under Anesthesia for Procedures on the Lower Abdomen",00832,The provider performs anesthesia services for a patient undergoing hernia repairs in the lower abdomen such as ventral hernias and incisional hernias. The patient is older than 1 year of age.
Anesthesia,"CPT®00834,Under Anesthesia for Procedures on the Lower Abdomen",00834,The provider performs anesthesia services for a patient undergoing repair of a hernia located in the lower abdomen. The patient is a child younger than 1 year of age. This code refers to procedures not specified by any other anesthesia code.
Anesthesia,"CPT®00836,Under Anesthesia for Procedures on the Lower Abdomen",00836,The provider performs anesthesia services for a patient undergoing repair of a hernia located in the lower abdomen. The patient is an infant born at fewer than 37 weeks gestational age and younger than 50 weeks gestational age at the time of surgery. This code refers to procedures not specified by any other anesthesia code.
Anesthesia,"CPT®00840,Under Anesthesia for Procedures on the Lower Abdomen",00840,"The provider performs anesthesia services for a patient undergoing intraperitoneal procedures in the lower abdomen, including laparoscopy, which are not specified by any other anesthesia code."
Anesthesia,"CPT®00842,Under Anesthesia for Procedures on the Lower Abdomen",00842,"The provider performs anesthesia services for a patient undergoing amniocentesis, in which another provider extracts fluid from the uterus of a pregnant female using a needle."
Anesthesia,"CPT®00844,Under Anesthesia for Procedures on the Lower Abdomen",00844,"The provider performs anesthesia services for a patient undergoing abdominoperineal resection in which the surgical provider removes large tumors lying very low down in the rectum along with the anus, the external opening of the intestines."
Anesthesia,"CPT®00846,Under Anesthesia for Procedures on the Lower Abdomen",00846,The provider performs anesthesia services for a patient undergoing a radical hysterectomy in which the surgical provider removes the uterus along with the surrounding structures.
Anesthesia,"CPT®00848,Under Anesthesia for Procedures on the Lower Abdomen",00848,The provider performs anesthesia services for an intraperitoneal procedure in the lower abdomen including laparoscopy and pelvic exenteration.
Anesthesia,"CPT®00851,Under Anesthesia for Procedures on the Lower Abdomen",00851,The provider performs anesthesia services for an intraperitoneal procedure in the lower abdomen including laparoscopy and tubal ligation/transection.
Anesthesia,"CPT®00860,Under Anesthesia for Procedures on the Lower Abdomen",00860,"The provider performs anesthesia services for an extraperitoneal procedure in lower abdomen, including the urinary tract."
Anesthesia,"CPT®00862,Under Anesthesia for Procedures on the Lower Abdomen",00862,"The provider performs anesthesia services for an extraperitoneal procedure in the lower abdomen, including the urinary tract; renal procedures, including upper one third of ureter, or donor nephrectomy."
Anesthesia,"CPT®00864,Under Anesthesia for Procedures on the Lower Abdomen",00864,"The provider performs anesthesia services for an extraperitoneal procedure in the lower abdomen, including urinary tract; total cystectomy."
Anesthesia,"CPT®00865,Under Anesthesia for Procedures on the Lower Abdomen",00865,The provider performs anesthesia services for a patient undergoing removal of the prostate and some of the surrounding tissue.
Anesthesia,"CPT®00866,Under Anesthesia for Procedures on the Lower Abdomen",00866,The provider performs anesthesia services for a patient undergoing removal of one or both adrenal glands.
Anesthesia,"CPT®00868,Under Anesthesia for Procedures on the Lower Abdomen",00868,The provider performs anesthesia services for a patient undergoing a renal transplant.
Anesthesia,"CPT®00870,Under Anesthesia for Procedures on the Lower Abdomen",00870,The provider performs anesthesia services for a patient undergoing removal of a stone from the bladder.
Anesthesia,"CPT®00872,Under Anesthesia for Procedures on the Lower Abdomen",00872,The provider performs anesthesia services for a patient partially submerged in liquid while undergoing treatment of a kidney stone or ureteral stone by extracorporeal shock wave.
